publisher,title,summary,pubdate,link,thumblink
New York Times,China Signals It Will Continue to Weaken Its Currency as Trade War Rages,"The country’s central bank guided the renminbi past another key point, suggesting Beijing could weaponize it if Trump imposes more tariffs.","Thu, 08 Aug 2019 12:04:55 +0000",https://www.nytimes.com/2019/08/07/business/china-currency-yuan-renminbi.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/us/politics/07chinacurrency/merlin_158986941_a3caec55-d58b-48ce-9311-b5c631d2e76c-moth.jpg
New York Times,U.S. Issues Travel Warning for Hong Kong Due to ‘Confrontational’ Protests,"The warning said that most demonstrations in the city have been peaceful, “but some have turned confrontational or resulted in violent clashes.”","Thu, 08 Aug 2019 09:38:06 +0000",https://www.nytimes.com/2019/08/07/world/asia/hong-kong-travel-warning.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07hongkong-travel/merlin_158895405_a394353a-8571-40d9-a3d5-aae603bdea29-moth.jpg
New York Times,"Elite Forces Try, and Fail, to Arrest a Former President of Kyrgyzstan",Supporters of former president Almazbek Atambayev repelled an attempt by security forces to detain and at least one soldier was shot and killed.,"Wed, 07 Aug 2019 23:36:17 +0000",https://www.nytimes.com/2019/08/07/world/asia/former-president-kyrgyzstan-arrest.html?emc=rss&partner=rss,
New York Times,"Steve Sawyer, Greenpeace Activist and Leader, Dies at 63",He was there when the ship the Rainbow Warrior was bombed in an antinuclear protest and helped evacuate an atoll contaminated by radioactive fallout.,"Wed, 07 Aug 2019 22:27:11 +0000",https://www.nytimes.com/2019/08/07/obituaries/steve-sawyer-greenpeace-dead.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/06/obituaries/00sawyer2/00sawyer2-moth.jpg
New York Times,"El Paso, Boy Scouts, Nicolas Cage: Your Wednesday Evening Briefing",Here’s what you need to know at the end of the day.,"Wed, 07 Aug 2019 22:12:21 +0000",https://www.nytimes.com/2019/08/07/briefing/el-paso-boy-scouts-nicolas-cage.html?emc=rss&partner=rss,
New York Times,Italy’s Parliament Backs Rail Link as Nationalist League Party Comes Out on Top,"The issue had threatened to splinter Italy’s governing coalition. The League’s partner, the Five Star Movement, had opposed the project.","Thu, 08 Aug 2019 00:14:11 +0000",https://www.nytimes.com/2019/08/07/world/europe/italy-tav-league-five-star.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07Italy1/07Italy1-moth.jpg
New York Times,Missing U.K. Scientist Found Dead in Greek Island Ravine,"Teams had been scouring the area where Natalie Christopher had been vacationing, which has paths along ravines and steep seaside cliffs.","Wed, 07 Aug 2019 21:36:21 +0000",https://www.nytimes.com/2019/08/07/world/europe/missing-uk-astrophysicist-found-dead-in-greek-island-ravine.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/Cypress-Missing-Runner/merlin_158972193_81fdd426-c28f-4932-ad6d-b50ea2e0c011-moth.jpg
New York Times,"Kashmir, Carlos Ghosn, President Trump: Your Thursday Briefing",Carlos Ghosn still can't see his wife.,"Wed, 07 Aug 2019 22:16:31 +0000",https://www.nytimes.com/2019/08/07/briefing/kashmir-carlos-ghosn-president-trump.html?emc=rss&partner=rss,
New York Times,Rome’s New Rules: No Sitting on the Spanish Steps (and No Wading in the Trevi Fountain),Tourists beware. New Rome regulations cover an array of activities that can lead to hefty fines.,"Thu, 08 Aug 2019 04:12:07 +0000",https://www.nytimes.com/2019/08/07/world/europe/rome-spanish-steps-sit.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07rome1/07rome1-moth-v3.jpg
New York Times,U.S. and Turkey Avoid Conflict by Agreeing on Buffer Zone in Syria,"Turkey wins American agreement for its longstanding demands for a safe zone along its border with Syria, but many details remain unresolved.","Thu, 08 Aug 2019 21:01:01 +0000",https://www.nytimes.com/2019/08/07/world/middleeast/us-turkey-peace-corridor-syria.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07turkey/07turkey-moth.jpg
